SHA256,Filename,Tool Name,C2,Task Name,PDB,Notes
335e9eb0bb571ca81cc6829483f0b8d015627f8301373756d04d844cde04918d,smsc.exe,Sakabota,pasta58.com,,,
5b5f6869d8e7e5746cc9bec58694e4e0049aef0dcac5dfd595322607ba10e1ae,smsc.exe,Sakabota,pasta58.com,,,
7cfd75ab4822b489f74e83d3046536509c44b29b72b43125b0eca1fe449b5953,smsc.exe,Sakabota,pasta58.com,,,
ead4efbc822d2f6351225b35e108100ebef0cdd4b4f3c4762e2ab766ea1ab873,,Killua,,,,
18117d1029bad681b1fc28b3bcf3e3dcb63c040d48e369976fb4968376d7195c,,Killua,learn-service.com,,,
a49ef5833ed5bf3938f535cf25876555fc0e85bcd278da7227593d9b25d8f65e,,Killua,learn-service.com,,,
b63cb7453a835d3af235b6424ffae9ce8b20716c4b35eec6d448d4c95121da69,,Killua,,,,
a78bfa251a01bf6f93b4b52b2ef0679e7f4cc8ac770bcc4fef5bb229e2e888b5,,Killua,learn-service.com,,,
970f656c3c41d09e674d8da94d66b81cbf7428754780f2a155d400d5e98ca5fa,otc.dll,Killua,,,,
72eeac8fecf392ece7ba0a12ebe02e69dd8d1740ba82f017c87d8a08d71b890b,otc.dll,Killua,,,,
206b735740abf36cd2c3515cfcb9016f65e51cbf4930ddff6abf2e75a07a23d4,msdtd.sys,Netero,,google-update,C:\\Users\\bob\\Desktop\\Hisoka\\Netero\\obj\\Debug\\msdtd.pdb,
3996efe9a3cf471a1f816287368fa0f99d2cdb95786530b0b61c7b9024ff717b,msd,Netero,,Service_Update,C:\\Users\\boss\\Desktop\\Hisoka\\Netero\\obj\\Debug\\msdtd.pdb,
,,,alforatsystem.com,,,2018 infrastructure overlap
,,,winx64-microsoft.com,,,2018 infrastructure overlap
,,,6google.com,,,2018 infrastructure overlap
,,,windows-updates.com,,,2018 infrastructure overlap
,,,windows64x.com,,,2018 infrastructure overlap
,,,microsoft-check.com,,,2018 infrastructure overlap
,,,firewallsupports.com,,,2018 infrastructure overlap
,,,check-updates.com,,,2018 infrastructure overlap
,,,sakabota.com,,,2018 infrastructure overlap
,,,antivirus-update.top,,,2018 infrastructure overlap
,,,traveleasy-kw.com,,,2018 infrastructure overlap
